"concept_cd","ICD_Description","Long_COVID_Likelihood_Speculative","Explanation_Speculative","Chronic_Status","Chronic_Explanation"
"ICD10:J84.89","Diseases of the respiratory system (J84.89)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:J98.8","Diseases of the respiratory system (J98.8)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:J84.10","Diseases of the respiratory system (J84.10)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:J84.115","Diseases of the respiratory system (J84.115)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:J98.9","Diseases of the respiratory system (J98.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:J99","Diseases of the respiratory system (J99)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:J22","Diseases of the respiratory system (J22)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:F06.30","Other mental disorders due to known physiological condition (F06.30)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:F34.9","Mental, behavioral and neurodevelopmental disorders (F34.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:F39","Mental, behavioral and neurodevelopmental disorders (F39)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"29690","Unknown category (29690)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:L83","Diseases of the skin and subcutaneous tissue (L83)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:L73.0","Diseases of the skin and subcutaneous tissue (L73.0)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:L85.1","Diseases of the skin and subcutaneous tissue (L85.1)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:L57.0","Diseases of the skin and subcutaneous tissue (L57.0)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:L63.9","Diseases of the skin and subcutaneous tissue (L63.9)","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:L64.9","Diseases of the skin and subcutaneous tissue (L64.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:L90.9","Atrophic disorders of skin (L90.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:L60.4","Diseases of the skin and subcutaneous tissue (L60.4)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:L75.0","Diseases of the skin and subcutaneous tissue (L75.0)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:L81.3","Diseases of the skin and subcutaneous tissue (L81.3)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:L94.2","Other localized connective tissue disorders (L94.2)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:L81.1","Diseases of the skin and subcutaneous tissue (L81.1)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:L66.9","Diseases of the skin and subcutaneous tissue (L66.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:L84","Diseases of the skin and subcutaneous tissue (L84)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:L57.4","Diseases of the skin and subcutaneous tissue (L57.4)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:L81.9","Diseases of the skin and subcutaneous tissue (L81.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:L98.9","Other disorders of skin and subcutaneous tissue, not elsewhere classified (L98.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:L56.5","Diseases of the skin and subcutaneous tissue (L56.5)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:L30.1","Diseases of the skin and subcutaneous tissue (L30.1)","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:L74.9","Eccrine sweat disorders (L74.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:L72.0","Follicular cysts of skin and subcutaneous tissue (L72.0)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:L85.9","Diseases of the skin and subcutaneous tissue (L85.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:L72.9","Follicular cysts of skin and subcutaneous tissue (L72.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:L73.9","Diseases of the skin and subcutaneous tissue (L73.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:L92.3","Diseases of the skin and subcutaneous tissue (L92.3)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:L81.2","Diseases of the skin and subcutaneous tissue (L81.2)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:L92.2","Diseases of the skin and subcutaneous tissue (L92.2)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:L92.9","Diseases of the skin and subcutaneous tissue (L92.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:L68.0","Diseases of the skin and subcutaneous tissue (L68.0)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:L68.9","Diseases of the skin and subcutaneous tissue (L68.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:L91.9","Diseases of the skin and subcutaneous tissue (L91.9)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:L91.0","Diseases of the skin and subcutaneous tissue (L91.0)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:L82.0","Diseases of the skin and subcutaneous tissue (L82.0)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:L60.0","Diseases of the skin and subcutaneous tissue (L60.0)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:L90.0","Atrophic disorders of skin (L90.0)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:L94.0","Other localized connective tissue disorders (L94.0)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:L74.0","Eccrine sweat disorders (L74.0)","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
